read1,read2,ns-diff
15218,5271,20889.017198
5215,4270,1984.530135
5110,4249,1808.127456
4284,4305,-44.100670
4739,4270,984.914956
5005,4354,1367.120760
4242,4361,-249.903795
4221,4256,-73.501116
4956,4459,1043.715849
4942,4242,1470.022322
4858,4872,-29.400446
5264,4291,2043.331028
4851,4235,1293.619643
5138,4305,1749.326563
4921,4396,1102.516742
4928,4277,1367.120760
4886,4368,1087.816518
4893,4298,1249.518974
4536,4312,470.407143
5033,4284,1572.923885
5173,4403,1617.024554
4893,4284,1278.919420
4963,4277,1440.621876
4249,4270,-44.100670
4865,4375,1029.015625
4277,4291,-29.400446
4963,4424,1131.917188
4956,4298,1381.820983
4221,4284,-132.302009
6069,4263,3792.657591
4858,4389,984.914956
4445,4298,308.704688
5418,4305,2337.335492
4914,4291,1308.319867
4193,4284,-191.102902
4256,4284,-58.800893
4858,4256,1264.219197
4928,4256,1411.221429
4879,4277,1264.219197
4613,4270,720.310938
4214,4410,-411.606250
5103,4319,1646.425001
4886,4200,1440.621876
4921,4277,1352.420536
4865,4277,1234.818751
4270,4291,-44.100670
4851,4284,1190.718081
4298,4284,29.400446
4235,5005,-1617.024554
4270,4277,-14.700223
4235,4319,-176.402679
4249,4333,-176.402679
5005,4284,1514.122992
4256,4284,-58.800893
4550,4298,529.208036
4634,4263,779.111831
4221,4340,-249.903795
4900,4256,1352.420536
4970,4333,1337.720313
4277,4298,-44.100670
4970,4389,1220.118527
5131,4298,1749.326563
4249,4235,29.400446
4466,4298,352.805357
4235,4284,-102.901563
4284,4396,-235.203572
4179,4319,-294.004464
4249,4284,-73.501116
4186,4291,-220.503348
4263,4291,-58.800893
4214,4263,-102.901563
4501,4403,205.803125
4452,4305,308.704688
4949,4312,1337.720313
4298,4417,-249.903795
4900,4284,1293.619643
4984,4291,1455.322099
4907,4263,1352.420536
4228,4277,-102.901563
4242,4284,-88.201339
4249,4319,-147.002232
4270,4312,-88.201339
4389,4410,-44.100670
5145,4305,1764.026787
4214,4291,-161.702455
4242,4277,-73.501116
4543,4284,543.908259
4256,4284,-58.800893
4494,4298,411.606250
4403,4312,191.102902
4956,4403,1161.317634
4515,4291,470.407143
4991,4284,1484.722545
4935,4284,1367.120760
4949,4382,1190.718081
4914,4298,1293.619643
4221,4396,-367.505581
4284,4277,14.700223
4319,4389,-147.002232
4270,4291,-44.100670
4228,4375,-308.704688
4228,4312,-176.402679
4935,4431,1058.416072
4270,4312,-88.201339
4354,4319,73.501116
4277,4389,-235.203572
4494,4312,382.205804
4277,4305,-58.800893
4424,4312,235.203572
4949,4326,1308.319867
4557,4284,573.308706
4249,4319,-147.002232
4256,4284,-58.800893
4872,4305,1190.718081
4221,4277,-117.601786
4256,4298,-88.201339
4333,4312,44.100670
4235,4312,-161.702455
4235,4277,-88.201339
4249,4326,-161.702455
5866,4298,3292.850002
4949,4291,1381.820983
4200,4333,-279.304241
4277,4403,-264.604018
4228,4305,-161.702455
4263,4298,-73.501116
4235,4718,-1014.315402
4235,4550,-661.510045
4200,4284,-176.402679
4256,4291,-73.501116
4319,4319,0.000000
4284,4284,0.000000
4221,4270,-102.901563
4935,4305,1323.020090
4228,4277,-102.901563
4256,4431,-367.505581
4235,4305,-147.002232
4270,4312,-88.201339
4333,4312,44.100670
4277,4284,-14.700223
4214,4256,-88.201339
4256,4270,-29.400446
4235,4277,-88.201339
5278,4256,2146.232590
4242,4298,-117.601786
4235,4249,-29.400446
4214,4305,-191.102902
4879,4550,690.910491
4221,4305,-176.402679
4249,4291,-88.201339
4242,4403,-338.105134
8995,4298,9863.849782
4424,4403,44.100670
4305,4270,73.501116
4340,4333,14.700223
4270,4284,-29.400446
4214,4431,-455.706920
4249,4312,-132.302009
4249,4277,-58.800893
4487,4298,396.906027
4221,4368,-308.704688
4515,4410,220.503348
4298,4312,-29.400446
4263,4305,-88.201339
4214,4291,-161.702455
4382,4305,161.702455
4207,4312,-220.503348
4312,4277,73.501116
4228,4291,-132.302009
4277,4431,-323.404911
4312,4214,205.803125
